message;severity;node;stamp;location
"Goal failed";"40";"bt_navigator";"1748015088.663394577";"/opt/ros/jazzy/include/nav2_behavior_tree/bt_action_server_impl.hpp:executeCallback:319"
"[navigate_to_pose] [ActionServer] Aborting handle.";"30";"bt_navigator";"1748015088.663293574";"/opt/ros/jazzy/include/nav2_util/nav2_util/simple_action_server.hpp:warn_msg:633"
"[compute_path_to_pose] [ActionServer] Aborting handle.";"30";"planner_server";"1748015088.635622162";"/opt/ros/jazzy/include/nav2_util/nav2_util/simple_action_server.hpp:warn_msg:633"
"GridBased plugin failed to plan from (4.82, 25.19) to (0.58, 41.35): \"GridBased generated a empty path\"";"30";"planner_server";"1748015088.635589837";"./src/planner_server.cpp:exceptionWarning:751"
"Planning algorithm GridBased failed to generate a valid path to (0.58, 41.35)";"30";"planner_server";"1748015088.635547343";"./src/planner_server.cpp:validatePath:360"
"Empty path generated, probably wrong localization";"30";"planner_server";"1748015088.635522377";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:427"
"Replanning trajectory (1024, 1903) <253> --> (939, 2227) <0>";"20";"planner_server";"1748015088.635475860";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015088.635392798";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Received request to clear entirely the global_costmap";"20";"global_costmap.global_costmap";"1748015088.473594976";"./src/clear_costmap_service.cpp:clearEntireCallback:95"
"[compute_path_to_pose] [ActionServer] Aborting handle.";"30";"planner_server";"1748015088.454200513";"/opt/ros/jazzy/include/nav2_util/nav2_util/simple_action_server.hpp:warn_msg:633"
"GridBased plugin failed to plan from (4.78, 25.18) to (0.58, 41.35): \"GridBased generated a empty path\"";"30";"planner_server";"1748015088.454158792";"./src/planner_server.cpp:exceptionWarning:751"
"Planning algorithm GridBased failed to generate a valid path to (0.58, 41.35)";"30";"planner_server";"1748015088.454123324";"./src/planner_server.cpp:validatePath:360"
"Empty path generated, probably wrong localization";"30";"planner_server";"1748015088.454095140";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:427"
"Replanning trajectory (1023, 1903) <253> --> (939, 2227) <0>";"20";"planner_server";"1748015088.454047166";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015088.453959373";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"spin completed successfully";"20";"behavior_server";"1748015088.434185827";"./include/nav2_behaviors/timed_behavior.hpp:execute:265"
"Turning 1.57 for spin behavior.";"20";"behavior_server";"1748015086.633931096";"./plugins/spin.cpp:onRun:89"
"Running spin";"20";"behavior_server";"1748015086.633820651";"./include/nav2_behaviors/timed_behavior.hpp:execute:213"
"[compute_path_to_pose] [ActionServer] Aborting handle.";"30";"planner_server";"1748015086.618333329";"/opt/ros/jazzy/include/nav2_util/nav2_util/simple_action_server.hpp:warn_msg:633"
"GridBased plugin failed to plan from (4.69, 25.17) to (0.58, 41.35): \"GridBased generated a empty path\"";"30";"planner_server";"1748015086.618302872";"./src/planner_server.cpp:exceptionWarning:751"
"Planning algorithm GridBased failed to generate a valid path to (0.58, 41.35)";"30";"planner_server";"1748015086.618265356";"./src/planner_server.cpp:validatePath:360"
"Empty path generated, probably wrong localization";"30";"planner_server";"1748015086.618237735";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:427"
"Replanning trajectory (1021, 1903) <253> --> (939, 2227) <0>";"20";"planner_server";"1748015086.618185013";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015086.618087622";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Received request to clear entirely the global_costmap";"20";"global_costmap.global_costmap";"1748015085.646023223";"./src/clear_costmap_service.cpp:clearEntireCallback:95"
"[compute_path_to_pose] [ActionServer] Aborting handle.";"30";"planner_server";"1748015085.633041285";"/opt/ros/jazzy/include/nav2_util/nav2_util/simple_action_server.hpp:warn_msg:633"
"GridBased plugin failed to plan from (4.69, 25.17) to (0.58, 41.35): \"GridBased generated a empty path\"";"30";"planner_server";"1748015085.633004834";"./src/planner_server.cpp:exceptionWarning:751"
"Planning algorithm GridBased failed to generate a valid path to (0.58, 41.35)";"30";"planner_server";"1748015085.632962986";"./src/planner_server.cpp:validatePath:360"
"Empty path generated, probably wrong localization";"30";"planner_server";"1748015085.632930017";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:427"
"Replanning trajectory (1021, 1903) <253> --> (939, 2227) <0>";"20";"planner_server";"1748015085.632870814";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015085.632770364";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
